বাংলা,চট্টগ্রাম
কুখ্যাত তেলাপোকার ফাসি চাই,কুখ্যাত তেইল্ল্যাছোরার ফাসি চাই
তেলাপোকা তরকারি নষ্ট করে,তেইল্ল্যাছোরা ছালন নষ্ট গরে
টং দোকানে চা খাওয়াতে হব,টং দোকানত চা হাবাইত অইব্যু
সত্যি কথা হল আমরা দানবীঐ,সত্যি হথা অইল অ্যাঁরা দানবীর
গিরগিট দেখলে আমরা বলতাম,টোট্টেং চ্যাঁইলে অ্যাঁরা হইতাম
ফুটবলে আমরা গলা ফাটিয়ে ফেলি,ফুটবলত অ্যাঁরা গলা ফাডাই ফেল্যাই
স্পেন জার্মানি নিয়ে গেছে,স্পেন জার্মানি লইয়্যে গেইয়্যে
কোরবানির আগে বাড়িতে যাচ্ছি,কোরবাইন্না আগে বাড়িত যাইরগুই
মাছের খেতে গেছে,মাছের হাইতে গেইয়্যে
তোর ছেলে আমাকে যে বিরক্ত করে,তুঁর ফোয়া অ্যাঁরে যে বিরক্ত গরে
মাথা গরম হয়ে যায়,মাতা গরম অই যায়
তোর দিকে দেখে না,তুঁর মিক্কে ন চ্যাঁই
কি হয়েছে বলবি তো,কি হইয়্যে হবি তো
আমার খুব কষ্ট কস,অ্যাঁর বহুত কষ্ট গরে
গরিব সবার জুম্মার দিন,গরিব বেজ্ঞুনের জুম্মার দিন
তোমার ছেলে বেশি সায়ানা হয়ে গেছে,তোঁয়ার ফোয়া বেশি সিয়ানা অই গেইয়্যে
এতো কষ্ট করে টাকা খরচ করে লাভ কি,এদ্দুর কষ্ট গরে টিঁয়া খরচ গরে ফায়দা কি
কোথায় যাবো তোমার মেয়েকে নিয়ে,হডে যাইয়্যুম তোঁয়ার মাইয়্যারে লইয়্যে
আমার জন্য পিঠা নিয়ে এসেছিস,অ্যাঁর লাই পিডা লই আইচ্চুস
আমরা বাড়িতে যাবো না,অ্যাঁরা বাড়িত ন যাইয়্যুম
হঠাৎ করে এসেছিস তোরা,আতিক্কে গরে আইচ্চুস তুঁরা
আমি খেজুর খাই না,অ্যাঁই খাজুর ন হাঁই
তোমরা খেজুর রস খাওয়ার জন্য,তোঁয়ারা খাজুর রস হাওনর লাই
আমার খেজুর রস ভাল লাগে না,অ্যাঁর খাজুর রস গম ন লার
যাবো না আরও বলবো,ন যাইয়্যুম আরও হইয়্যুম
গরমের সময় খেজুর রস কোথায় পাবো,গরমর সমত খাজুর রস হডে পাইয়্যুম
আমি পেঁপে খাই না,অ্যাঁই কৈইয়া না হাঁই
পাখা দিয়ে বাতাস কর,পাখা দি বাতাস গর
কাদায় যাবো না আমি,ফ্যাকত ন যাইয়্যুম অ্যাঁই
ভাত নেই ঘরে,ভাত নাই ঘরত
আমি শালা তুই শালা,অ্যাঁই আলা ন তুঁই আলা
আমলকী তোমার জন্য,আলতি তোঁয়ার লাই
সবার আমলকী ভাল লাগে,বেজ্ঞুনের আলতি গম লার
কামরাঙ্গার গাছে কামরাঙ্গা,হউরোর গাছেত হউরো
তোকে আমলকী দেওয়ার জন্য এসেছি,তোঁরে আলতি দিবের লাই আইচ্ছি
সেটি আমার ভাই সবাই জানে,ইয়ান অ্যাঁর বদ্দা বেজ্ঞুনে জানে
