SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
657,ফাস্টে অনত তুন এক্কান দোয়ান ওত যা ফরিবো,পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,পরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে,প্রথমে আপনাকে একটি দোকানে যেতে হবে,"First, you have to go to a shop"
658,অনত তুন এক্কান দোয়ান ওত যা ফরিবো,আফনারে এখটা দুকানো যাওয়া লাগবো,আমনেরে এউক্কা দোকানে যাইতে হইবে,আপনাকে একটি দোকানে যেতে হবে,You have to go to a shop
659,এক্কান দোয়ান ওত যা ফরিবো,এখটা দুকানো যাওয়া লাগবো,এউক্কা দোকানে যাইতে হইবে,একটি দোকানে যেতে হবে,Have to go to a shop
660,দোয়ান ওত যা ফরিবো,দুকানো যাওয়া লাগবো,দোকানে যাইতে হইবে,দোকানে যেতে হবে,Have to go to the shop
661,ওত যা ফরিবো,যাওয়া লাগবো,যাইতে হইবে,যেতে হবে,Must go
662,ফাস্টে এক্কান দোয়ান ওত যা ফরিবো,পয়লা এখটা দুকানো যাওয়া লাগবো,পরথমে এউক্কা দোকানে যাইতে হইবে,প্রথমে একটি দোকানে যেতে হবে,"First, go to a shop"
663,ফাস্টে দোয়ান ওত যা ফরিবো,পয়লা দুকানো যাওয়া লাগবো,পরথমে দোকানে যাইতে হইবে,প্রথমে দোকানে যেতে হবে,"First, go to the shop"
664,বহুত দিন ফর তুয়ারে দেহিলাম,বাক্কা দিন বাদে তুমারে দেখলাম,মেলাদিন পর তোমারে দেখলাম,অনেক দিন পর তোমাকে দেখলাম,Seeing you after a long time
665,বহুত দিন ফর ,বাক্কা দিন বাদে ,মেলাদিন পর ,অনেক দিন পর ,After a long time
666,তুয়ারে দেহিলাম,তুমারে দেখলাম,তোমারে দেখলাম,তোমাকে দেখলাম,Saw you
667,তুয়ারে দেহি দোর ওই তিয়ায় আছিলাম,তুমাকে দেখিয়া ভেমতালা লাগিয়া উবাই রইছিলাম,তোমারে দেইখা থমকে খারাইয়া আছেলাম,তোমাকে দেখে থমকে দাঁড়িয়ে ছিলাম,Stood still seeing you
668,তুয়ারে দেহি ,তুমাকে দেখিয়া ,তোমারে দেইখা ,তোমাকে দেখে ,Seeing you
669,দোর ওই তিয়ায় আছিলাম,ভেমতালা লাগিয়া উবাই রইছিলাম,থমকে খারাইয়া আছেলাম,থমকে দাঁড়িয়ে ছিলাম,Stood still
670,তিয়ায় আছিলাম,উবাই রইছিলাম,খারাইয়া আছেলাম,দাঁড়িয়ে ছিলাম,Dad bought me a red dress
671,আব্বু আর লাই লাল জামা কিনি আইন্ন্যে,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,আব্বা মোর লাইগা লাল জামা কিন্ন্যা আনছে,আব্বু আমার জন্য লাল জামা কিনে এনেছে,Bought me a red dress
672,আর লাই লাল জামা কিনি আইন্ন্যে,মোর লাগি লাল জামা কিনিয়া আনছইন,মোর লাইগা লাল জামা কিন্ন্যা আনছে,আমার জন্য লাল জামা কিনে এনেছে,Red dress bought
673,লাল জামা কিনি আইন্ন্যে,লাল জামা কিনিয়া আনছইন,লাল জামা কিন্ন্যা আনছে,লাল জামা কিনে এনেছে,Bought dress
